uniqid,name,type,staff_com,formed_combined2,stat2,isic1_1,isic1_2,isic2_1,isic2_2,isic3_1,isic3_2,cat1_1,cat1_2,cat_2_1,cat2_2,cat3_1,cat3_2,_merge,citizen_dummy,type_4cat,interestgroup
1634,The Financial Services Council,2,20,1997,2,1100,65,,,,,200,204,,,,,3,0,2,1
1634,The Financial Services Council,2,20,1997,2,1100,65,,,,,200,204,,,,,3,0,2,1
1634,The Financial Services Council,2,20,1997,2,1100,65,,,,,200,204,,,,,3,0,2,1
1634,The Financial Services Council,2,20,1997,2,1100,65,,,,,200,204,,,,,3,0,2,1
1634,The Financial Services Council,2,20,1997,2,1100,65,,,,,200,204,,,,,3,0,2,1
1634,The Financial Services Council,2,20,1997,2,1100,65,,,,,200,204,,,,,3,0,2,1
1634,The Financial Services Council,2,20,1997,2,1100,65,,,,,200,204,,,,,3,0,2,1
1634,The Financial Services Council,2,20,1997,2,1100,65,,,,,200,204,,,,,3,0,2,1
1634,The Financial Services Council,2,20,1997,2,1100,65,,,,,200,204,,,,,3,0,2,1
1634,The Financial Services Council,2,20,1997,2,1100,65,,,,,200,204,,,,,3,0,2,1
1634,The Financial Services Council,2,20,1997,2,1100,65,,,,,200,204,,,,,3,0,2,1
1634,The Financial Services Council,2,20,1997,2,1100,65,,,,,200,204,,,,,3,0,2,1
1634,The Financial Services Council,2,20,1997,2,1100,65,,,,,200,204,,,,,3,0,2,1
1636,The Foundation for Young Australians,1,35,2000,8,,,,,,,1500,1501,,,,,3,1,1,1
1636,The Foundation for Young Australians,1,35,2000,8,,,,,,,1500,1501,,,,,3,1,1,1
1636,The Foundation for Young Australians,1,35,2000,8,,,,,,,1500,1501,,,,,3,1,1,1
1636,The Foundation for Young Australians,1,35,2000,8,,,,,,,1500,1501,,,,,3,1,1,1
1636,The Foundation for Young Australians,1,35,2000,8,,,,,,,1500,1501,,,,,3,1,1,1
1636,The Foundation for Young Australians,1,35,2000,8,,,,,,,1500,1501,,,,,3,1,1,1
1636,The Foundation for Young Australians,1,35,2000,8,,,,,,,1500,1501,,,,,3,1,1,1
1636,The Foundation for Young Australians,1,35,2000,8,,,,,,,1500,1501,,,,,3,1,1,1
1636,The Foundation for Young Australians,1,35,2000,8,,,,,,,1500,1501,,,,,3,1,1,1
1636,The Foundation for Young Australians,1,35,2000,8,,,,,,,1500,1501,,,,,3,1,1,1
1636,The Foundation for Young Australians,1,35,2000,8,,,,,,,1500,1501,,,,,3,1,1,1
1636,The Foundation for Young Australians,1,35,2000,8,,,,,,,1500,1501,,,,,3,1,1,1
1638,The Nationals,,,,,,,,,,,,,,,,,1,999,999,0
1638,The Nationals,,,,,,,,,,,,,,,,,1,999,999,0
1638,The Nationals,,,,,,,,,,,,,,,,,1,999,999,0
