uniqid,name,type,staff_com,formed_combined2,stat2,isic1_1,isic1_2,isic2_1,isic2_2,isic3_1,isic3_2,cat1_1,cat1_2,cat_2_1,cat2_2,cat3_1,cat3_2,_merge,citizen_dummy,type_4cat,interestgroup
66,Arthritis Australia,1,5,1949,2,,,,,,,1800,1802,,,,,3,1,1,1
66,Arthritis Australia,1,5,1949,2,,,,,,,1800,1802,,,,,3,1,1,1
66,Arthritis Australia,1,5,1949,2,,,,,,,1800,1802,,,,,3,1,1,1
67,Arts Access Australia,1,1,1992,8,,,,,,,2100,2101,1800,1801,,,3,1,1,1
67,Arts Access Australia,1,1,1992,8,,,,,,,2100,2101,1800,1801,,,3,1,1,1
68,Arts Hub,,,,,,,,,,,,,,,,,1,999,999,0
68,Arts Hub,,,,,,,,,,,,,,,,,1,999,999,0
68,Arts Hub,,,,,,,,,,,,,,,,,1,999,999,0
70,Asbestos Diseases Foundation of Australia,1,.5,1990,2,,,,,,,1800,1802,,,,,3,1,1,1
79,Association of Australian Acoustical Consultants,4,0,,5,1300,71,,,,,300,303,,,,,3,0,4,1
79,Association of Australian Acoustical Consultants,4,0,,5,1300,71,,,,,300,303,,,,,3,0,4,1
79,Association of Australian Acoustical Consultants,4,0,,5,1300,71,,,,,300,303,,,,,3,0,4,1
85,Association of Financial Advisers,4,5,1946,2,1100,64,,,,,300,303,,,,,3,0,4,1
85,Association of Financial Advisers,4,5,1946,2,1100,64,,,,,300,303,,,,,3,0,4,1
85,Association of Financial Advisers,4,5,1946,2,1100,64,,,,,300,303,,,,,3,0,4,1
85,Association of Financial Advisers,4,5,1946,2,1100,64,,,,,300,303,,,,,3,0,4,1
85,Association of Financial Advisers,4,5,1946,2,1100,64,,,,,300,303,,,,,3,0,4,1
85,Association of Financial Advisers,4,5,1946,2,1100,64,,,,,300,303,,,,,3,0,4,1
85,Association of Financial Advisers,4,5,1946,2,1100,64,,,,,300,303,,,,,3,0,4,1
85,Association of Financial Advisers,4,5,1946,2,1100,64,,,,,300,303,,,,,3,0,4,1
85,Association of Financial Advisers,4,5,1946,2,1100,64,,,,,300,303,,,,,3,0,4,1
85,Association of Financial Advisers,4,5,1946,2,1100,64,,,,,300,303,,,,,3,0,4,1
85,Association of Financial Advisers,4,5,1946,2,1100,64,,,,,300,303,,,,,3,0,4,1
85,Association of Financial Advisers,4,5,1946,2,1100,64,,,,,300,303,,,,,3,0,4,1
85,Association of Financial Advisers,4,5,1946,2,1100,64,,,,,300,303,,,,,3,0,4,1
85,Association of Financial Advisers,4,5,1946,2,1100,64,,,,,300,303,,,,,3,0,4,1
85,Association of Financial Advisers,4,5,1946,2,1100,64,,,,,300,303,,,,,3,0,4,1
85,Association of Financial Advisers,4,5,1946,2,1100,64,,,,,300,303,,,,,3,0,4,1
85,Association of Financial Advisers,4,5,1946,2,1100,64,,,,,300,303,,,,,3,0,4,1
85,Association of Financial Advisers,4,5,1946,2,1100,64,,,,,300,303,,,,,3,0,4,1
85,Association of Financial Advisers,4,5,1946,2,1100,64,,,,,300,303,,,,,3,0,4,1
85,Association of Financial Advisers,4,5,1946,2,1100,64,,,,,300,303,,,,,3,0,4,1
86,Association of Heads of Independent Schools of Australia,4,3,1985,1,1600,85,,,,,300,303,600,,,,3,0,4,1
86,Association of Heads of Independent Schools of Australia,4,3,1985,1,1600,85,,,,,300,303,600,,,,3,0,4,1
86,Association of Heads of Independent Schools of Australia,4,3,1985,1,1600,85,,,,,300,303,600,,,,3,0,4,1
86,Association of Heads of Independent Schools of Australia,4,3,1985,1,1600,85,,,,,300,303,600,,,,3,0,4,1
86,Association of Heads of Independent Schools of Australia,4,3,1985,1,1600,85,,,,,300,303,600,,,,3,0,4,1
89,Association of Independent Retirees,1,0,1990,1,,,,,,,1500,1502,,,,,3,1,1,1
89,Association of Independent Retirees,1,0,1990,1,,,,,,,1500,1502,,,,,3,1,1,1
89,Association of Independent Retirees,1,0,1990,1,,,,,,,1500,1502,,,,,3,1,1,1
89,Association of Independent Retirees,1,0,1990,1,,,,,,,1500,1502,,,,,3,1,1,1
89,Association of Independent Retirees,1,0,1990,1,,,,,,,1500,1502,,,,,3,1,1,1
89,Association of Independent Retirees,1,0,1990,1,,,,,,,1500,1502,,,,,3,1,1,1
89,Association of Independent Retirees,1,0,1990,1,,,,,,,1500,1502,,,,,3,1,1,1
89,Association of Independent Retirees,1,0,1990,1,,,,,,,1500,1502,,,,,3,1,1,1
89,Association of Independent Retirees,1,0,1990,1,,,,,,,1500,1502,,,,,3,1,1,1
89,Association of Independent Retirees,1,0,1990,1,,,,,,,1500,1502,,,,,3,1,1,1
96,"Association of Professional Engineers, Scientists and Managers",4,130,1946,8,1300,,,,,,300,303,,,,,3,0,4,1
96,"Association of Professional Engineers, Scientists and Managers",4,130,1946,8,1300,,,,,,300,303,,,,,3,0,4,1
96,"Association of Professional Engineers, Scientists and Managers",4,130,1946,8,1300,,,,,,300,303,,,,,3,0,4,1
96,"Association of Professional Engineers, Scientists and Managers",4,130,1946,8,1300,,,,,,300,303,,,,,3,0,4,1
96,"Association of Professional Engineers, Scientists and Managers",4,130,1946,8,1300,,,,,,300,303,,,,,3,0,4,1
96,"Association of Professional Engineers, Scientists and Managers",4,130,1946,8,1300,,,,,,300,303,,,,,3,0,4,1
96,"Association of Professional Engineers, Scientists and Managers",4,130,1946,8,1300,,,,,,300,303,,,,,3,0,4,1
96,"Association of Professional Engineers, Scientists and Managers",4,130,1946,8,1300,,,,,,300,303,,,,,3,0,4,1
96,"Association of Professional Engineers, Scientists and Managers",4,130,1946,8,1300,,,,,,300,303,,,,,3,0,4,1
98,Association of Superannuation Funds of Australia,2,40,1962,2,1100,65,,,,,200,204,,,,,3,0,2,1
98,Association of Superannuation Funds of Australia,2,40,1962,2,1100,65,,,,,200,204,,,,,3,0,2,1
98,Association of Superannuation Funds of Australia,2,40,1962,2,1100,65,,,,,200,204,,,,,3,0,2,1
98,Association of Superannuation Funds of Australia,2,40,1962,2,1100,65,,,,,200,204,,,,,3,0,2,1
98,Association of Superannuation Funds of Australia,2,40,1962,2,1100,65,,,,,200,204,,,,,3,0,2,1
98,Association of Superannuation Funds of Australia,2,40,1962,2,1100,65,,,,,200,204,,,,,3,0,2,1
98,Association of Superannuation Funds of Australia,2,40,1962,2,1100,65,,,,,200,204,,,,,3,0,2,1
98,Association of Superannuation Funds of Australia,2,40,1962,2,1100,65,,,,,200,204,,,,,3,0,2,1
98,Association of Superannuation Funds of Australia,2,40,1962,2,1100,65,,,,,200,204,,,,,3,0,2,1
98,Association of Superannuation Funds of Australia,2,40,1962,2,1100,65,,,,,200,204,,,,,3,0,2,1
98,Association of Superannuation Funds of Australia,2,40,1962,2,1100,65,,,,,200,204,,,,,3,0,2,1
98,Association of Superannuation Funds of Australia,2,40,1962,2,1100,65,,,,,200,204,,,,,3,0,2,1
98,Association of Superannuation Funds of Australia,2,40,1962,2,1100,65,,,,,200,204,,,,,3,0,2,1
98,Association of Superannuation Funds of Australia,2,40,1962,2,1100,65,,,,,200,204,,,,,3,0,2,1
98,Association of Superannuation Funds of Australia,2,40,1962,2,1100,65,,,,,200,204,,,,,3,0,2,1
98,Association of Superannuation Funds of Australia,2,40,1962,2,1100,65,,,,,200,204,,,,,3,0,2,1
98,Association of Superannuation Funds of Australia,2,40,1962,2,1100,65,,,,,200,204,,,,,3,0,2,1
98,Association of Superannuation Funds of Australia,2,40,1962,2,1100,65,,,,,200,204,,,,,3,0,2,1
98,Association of Superannuation Funds of Australia,2,40,1962,2,1100,65,,,,,200,204,,,,,3,0,2,1
98,Association of Superannuation Funds of Australia,2,40,1962,2,1100,65,,,,,200,204,,,,,3,0,2,1
102,Asthma Australia,7,3,1992,6,,,,,,,1800,1802,,,,,3,1,1,1
102,Asthma Australia,7,3,1992,6,,,,,,,1800,1802,,,,,3,1,1,1
102,Asthma Australia,7,3,1992,6,,,,,,,1800,1802,,,,,3,1,1,1
102,Asthma Australia,7,3,1992,6,,,,,,,1800,1802,,,,,3,1,1,1
102,Asthma Australia,7,3,1992,6,,,,,,,1800,1802,,,,,3,1,1,1
102,Asthma Australia,7,3,1992,6,,,,,,,1800,1802,,,,,3,1,1,1
102,Asthma Australia,7,3,1992,6,,,,,,,1800,1802,,,,,3,1,1,1
102,Asthma Australia,7,3,1992,6,,,,,,,1800,1802,,,,,3,1,1,1
102,Asthma Australia,7,3,1992,6,,,,,,,1800,1802,,,,,3,1,1,1
102,Asthma Australia,7,3,1992,6,,,,,,,1800,1802,,,,,3,1,1,1
105,Athletics Australia,2,24,1897,8,1800,93,,,,,200,204,2000,,,,3,0,2,1
105,Athletics Australia,2,24,1897,8,1800,93,,,,,200,204,2000,,,,3,0,2,1
105,Athletics Australia,2,24,1897,8,1800,93,,,,,200,204,2000,,,,3,0,2,1
105,Athletics Australia,2,24,1897,8,1800,93,,,,,200,204,2000,,,,3,0,2,1
105,Athletics Australia,2,24,1897,8,1800,93,,,,,200,204,2000,,,,3,0,2,1
105,Athletics Australia,2,24,1897,8,1800,93,,,,,200,204,2000,,,,3,0,2,1
105,Athletics Australia,2,24,1897,8,1800,93,,,,,200,204,2000,,,,3,0,2,1
107,Audiological Society of Australia,4,2,1968,8,1700,86,,,,,300,303,1800,,,,3,0,4,1
109,AusBiotech,2,3,2001,8,1300,72,,,,,200,204,,,,,3,0,2,1
109,AusBiotech,2,3,2001,8,1300,72,,,,,200,204,,,,,3,0,2,1
109,AusBiotech,2,3,2001,8,1300,72,,,,,200,204,,,,,3,0,2,1
